"","NTDID","Agency","Abbr","Active","Agency.Type","Organization.Type","Organization.Type.Desc","Institutional.Structure.Desc","Fiscal.Year.End","NTD.Report.Due.Date","Address","Address.Line.2","City","State","Zip","Zip4","P.O..Box","Region","Website","FTA.Recipient.ID","DUNS.Number","Service.Area..SQ.Mi.","Service.Area.Population","UZA","UZA.Name","counties","UZA.Population","UZA.Density","UZA.SQ.Mi","SSW","Required.to.Report","Operates.FG.HI.MB.DO","Operates.FG.HI.MB.PT","Operates.FG.HI.CB.DO","Operates.FG.HI.CB.PT","Directly.Operated.Vehicles","Purchased.Transportation.Vehicles","Total.Vehicles.of.Maximum.Service"
"1",4203,"Enterprise Rideshare","","A","9. Private-for-profit corporation","For-Profit","",NA,"6/30/13","10/29/13","5909 Peachtree Dunwoody Rd.","","Atlanta","GA",30328,NA,NA,4,"www.vanpool.com","",48832018,132,"432,247",9,"Atlanta, GA","","4,515,419","1,707","2,645","N","Y","","N","N","N",92,0,92
"2",4181,"Henry County Transit","HC","A","3. City, County or Local government unit or department of","City","",NA,"6/30/13","10/29/13","530 Industrial Boulevard","","McDonough","GA",30253,NA,NA,4,"www.co.henry.ga.us","6371",57047581,324,"207,360",9,"Atlanta, GA","Henry","4,515,419","1,707","2,645","Y","Y","","N","N","N",26,0,26
"3",4177,"Buckhead Community Improvement District","BCID","A","8. Other publicly-owned or publicly-chartered corporation","Semi-Public Corp","",NA,"6/30/13","10/29/13","3340 Peachtree Road, NE","Suite 1640","Atlanta","GA",30326,NA,NA,4,"bucride.com","4158",9919866,4,"171,000",9,"Atlanta, GA","Fulton","4,515,419","1,707","2,645","N","Y","","N","N","N",0,7,7
"4",4161,"Cherokee County Board of Commissioners","CATS","A","3. City, County or Local government unit or department of","City","",NA,"9/30/13","1/31/14","1130 Bluffs Parkway","","Canton","GA",30114,NA,NA,4,"cats.cherokeega.com","6335",101493158,18,"19,158",9,"Atlanta, GA","Cherokee","4,515,419","1,707","2,645","Y","Y","N","N","N","N",14,0,14
"5",4153,"vRide, Inc. - Atlanta","","A","11. Private provider reporting on behalf of a public entity","Contractor","",NA,"12/31/13","4/29/14","1800 Water Place","Suite 230","Atlanta","GA",30339,NA,NA,4,"www.vride.com","",98675887,424,"174,680",9,"Atlanta, GA","","4,515,419","1,707","2,645","N","Y","","N","N","N",253,0,253
"6",4144,"Hall Area Transit","HAT","A","3. City, County or Local government unit or department of","City","",NA,"6/30/13","10/29/13","687 Main St","","Gainesville","GA",30501,NA,NA,4,"www.gainesville.org/hall-area-transit","",78124617,38,"31,782",245,"Gainesville, GA","Hall","130,846","1,036","126","N","Y","N","N","N","N",17,0,17
"7",4138,"Gwinnett County Board of Commissioners","GCT","A","3. City, County or Local government unit or department of","City","",NA,"12/31/13","4/29/14","75 Langley Drive","","Lawrenceville","GA",30046,6900,NA,4,"www.gctransit.com","5440",57272734,351,"805,321",9,"Atlanta, GA","Gwinnett","4,515,419","1,707","2,645","N","Y","","N","N","Y",0,67,67
"8",4135,"Georgia Regional Transportation Authority","GRTA","A","4. State government unit or department of","State Government","",NA,"6/30/13","10/29/13","245 Peachtree Center Ave. NE","Suite 400","Atlanta","GA",30303,1223,NA,4,"www.grta.org","5891",9919866,498,"1,354,871",9,"Atlanta, GA","Fulton,DeKalb,Cobb,Gwinnett,Clayton,Cherokee,Forsyth,Rockdale,Henry,Coweta,Douglas,Cobb","4,515,419","1,707","2,645","N","Y","","N","N","Y",0,189,189
"9",4130,"Macon-Bibb County Transit Authority","MTA    ","A","1. Independent public agency or authority for transit service","Authority","",NA,"6/30/13","10/29/13","200 Cherry Street","","Macon","GA",31201,NA,NA,4,"www.mta-mac.com","",154057616,70,"155,547",234,"Macon, GA","Bibb","137,570","1,404","98","Y","Y","N","N","N","N",28,0,28
"10",4082,"Douglas County Rideshare","Rideshare","A","3. City, County or Local government unit or department of","City","",NA,"12/31/13","4/29/14","Douglas County Transportation Cntr.","8800 Dorris Road","Douglasville","GA",30134,NA,NA,4,"www.celebratedouglascounty.com","5409",65368698,201,"136,379",9,"Atlanta, GA","Douglas","4,515,419","1,707","2,645","N","Y","","N","N","N",65,0,65
"11",4078,"Cobb County Department of Transportation Authority","CCT","A","3. City, County or Local government unit or department of","City","",NA,"9/30/13","1/31/14","463 Commerce Park Drive","Suite 112","Marietta","GA",30060,2737,NA,4,"www.cobbcounty.org","2874",75931576,210,"688,078",9,"Atlanta, GA","Cobb","4,515,419","1,707","2,645","N","Y","","N","N","Y",0,93,93
"12",4058,"City of Rome Transit Department","RTD","A","3. City, County or Local government unit or department of","City","",NA,"12/31/13","4/29/14","168 North Avenue","","Rome","GA",30161,1433,1433,4,"www.romefloyd.com/EnrichingLife/Transit/tabid/105/Default.aspx","2897",75863951,32,"36,159",444,"Rome, GA","Floyd","60,851","1,277","48","N","Y","N","N","N","N",33,0,33
"13",4047,"Athens Transit System","ATS","A","3. City, County or Local government unit or department of","City","",NA,"6/30/13","10/29/13","775 E. Broad St.","","Athens","GA",30601,NA,NA,4,"www.athenstransit.com","",3646619,44,"116,714",249,"Athens-Clarke County, GA","Clarke","128,754","1,309","98","N","Y","N","N","N","N",25,0,25
"14",4025,"Chatham Area Transit Authority","CAT","A","1. Independent public agency or authority for transit service","Authority","",NA,"6/30/13","10/29/13","900 East Gwinnett Street","","Savannah","GA",31401,9118,9118,4,"www.catchacat.org","1103",75867689,438,"265,128",144,"Savannah, GA","Chatham","260,677","1,575","165","N","Y","N","N","N","N",73,73,146
"15",4024,"Metra Transit System (Columbus, GA)","Metra","A","3. City, County or Local government unit or department of","City","",NA,"6/30/13","10/29/13","814 Linwood Boulevard","","Columbus","GA",31902,1340,NA,4,"www.columbusga.org/metra","1046",37221327,132,"230,208",147,"Columbus, GA-AL","Muscogee","253,602","1,725","147","Y","Y","N","N","N","N",23,0,23
"16",4023,"Augusta Richmond County Transit Department","APT","A","3. City, County or Local government unit or department of","City","",NA,"12/31/13","4/29/14","1535 Fenwick Street","","Augusta","GA",30904,3727,NA,4,"www.augustaga.gov","2016",73438418,25,"200,549",98,"Augusta-Richmond County, GA-SC","Richmond","386,787","1,490","260","N","Y","","N","N","N",0,19,19
"17",4022,"Metropolitan Atlanta Rapid Transit Authority","MARTA","A","1. Independent public agency or authority for transit service","Authority","",NA,"6/30/13","10/29/13","2424 Piedmont Road, N.E.","","Atlanta","GA",30324,3330,NA,4,"www.itsmarta.com","1101",64500903,498,"1,612,500",9,"Atlanta, GA","Fulton,DeKalb","4,515,419","1,707","2,645","N","Y","Y","N","N","N",781,0,781
"18",4021,"Albany Transit System","ATS","A","3. City, County or Local government unit or department of","City","",NA,"6/30/13","10/29/13","712 Flint Avenue","","Albany","GA",31701,NA,NA,4,"www.albany.ga.us/ats/ats","1002",956064182,17,"75,616",309,"Albany, GA","Dougherty","95,779","1,352","71","N","Y","N","N","N","N",11,0,11
